state,datayeardef,legyear,deficitlag1
UT,2008,2009,-819254.2236
UT,2009,2010,15817.23668
UT,2010,2011,-467801.124
UT,2011,2012,-1000894.94
UT,2012,2013,-981975.5189
UT,2013,2014,-1713387.061
UT,2014,2015,-1505139.169
UT,2015,2016,-1461287.69
UT,2016,2017,-888913
VT,2002,2003,-26960.35608
VT,2003,2004,77306.51162
VT,2004,2005,-223744.6683
VT,2005,2006,-38430.52653
VT,2006,2007,-53658.23314
VT,2007,2008,-115061.6533
VT,2008,2009,58851.6347
VT,2009,2010,197757.2381
VT,2010,2011,-89957.98674
VT,2011,2012,-284335.815
VT,2012,2013,-93866.98877
VT,2013,2014,-51998.41023
VT,2014,2015,-172390.6004
VT,2015,2016,-227083.596
VT,2016,2017,-257405
VA,2002,2003,132325.5887
VA,2003,2004,123322.5064
VA,2004,2005,-1482771.168
VA,2005,2006,-2192361.731
VA,2006,2007,-2695661.407
VA,2007,2008,-750884.8267
VA,2008,2009,-551169.2951
VA,2009,2010,2238277.698
VA,2010,2011,-277383.1175
VA,2011,2012,-1441894.719
VA,2012,2013,-1722864.387
VA,2013,2014,-1423529.037
VA,2014,2015,-1284816.222
VA,2015,2016,-1185923.537
VA,2016,2017,-776000
WA,2002,2003,1810633.303
WA,2003,2004,295460.1717
WA,2004,2005,-847655.0186
WA,2005,2006,-3958363.612
WA,2006,2007,-2763816.752
WA,2007,2008,-2536525.573
WA,2008,2009,1068662.259
WA,2009,2010,3529548.904
WA,2010,2011,2711089.755
WA,2011,2012,-3008890.252
WA,2012,2013,-1595793.873
WA,2013,2014,-1007725.168
WA,2014,2015,-1865286.977
WA,2015,2016,-306861.5129
WA,2016,2017,-1673000
WV,2002,2003,672667.3041
WV,2003,2004,266246.8684
WV,2004,2005,-852320.8719
WV,2005,2006,-1249798.804
WV,2006,2007,-1238598.837
WV,2007,2008,-1673581.488
WV,2008,2009,-1156233.069
WV,2009,2010,-454693.4691
WV,2010,2011,-515376.7315
WV,2011,2012,-799814.7949
WV,2012,2013,734279.0836
