state,legyear,house,sen,dwnom,dwnomfull
KS,2006,0.389,0.134,0.2615,0.2615
KS,2007,0.304,0.134,0.219,0.219
KS,2008,0.304,0.134,0.219,0.219
KS,2009,0.289,0.216,0.2525,0.2525
KS,2010,0.289,0.216,0.2525,0.2525
KS,2011,0.659,0.27,0.4645,0.4645
KS,2012,,0.284,0.284,0.284
KS,2013,0.668,0.724,0.696,0.696
KS,2014,0.638,0.754,0.696,0.696
KS,2015,0.638,0.754,0.696,0.696
KS,2016,0.638,0.754,0.696,0.696
KS,2017,0.638,0.754,0.696,0.696
KY,1993,,,,-0.1545
KY,1994,,,,-0.1545
KY,1995,,,,-0.1545
KY,1996,0.053,-0.362,-0.1545,-0.1545
KY,1997,,-0.093,0.284,0.284
KY,1998,-0.039,-0.1,-0.0695,-0.0695
KY,1999,,,,-0.0695
KY,2000,-0.018,0.463,0.2225,0.2225
KY,2001,-0.018,0.581,0.2815,0.2815
KY,2002,-0.018,0.581,0.2815,0.2815
KY,2003,-0.005,0.645,0.32,0.32
KY,2004,0.009,0.645,0.327,0.327
KY,2005,0.101,0.671,0.386,0.386
KY,2006,0.101,0.665,0.383,0.383
KY,2007,0.044,0.665,0.3545,0.3545
KY,2008,0.053,0.707,0.38,0.38
KY,2009,,,,0.38
KY,2010,,,,0.38
KY,2011,,,,0.38
KY,2012,,,,0.38
KY,2013,,,,0.38
KY,2014,,,,0.38
KY,2015,,,,0.38
KY,2016,,,,0.38
KY,2017,,,,0.38
LA,1993,,,,0.243
LA,1994,,,,0.243
LA,1995,,,,0.243
LA,1996,0.164,0.322,0.243,0.243
LA,1997,0.154,0.4,0.277,0.277
LA,1998,0.159,0.4,0.2795,0.2795
LA,1999,0.159,0.396,0.2775,0.2775
LA,2000,0.164,0.319,0.2415,0.2415
LA,2001,0.184,0.319,0.2515,0.2515
LA,2002,0.164,0.337,0.2505,0.2505
LA,2003,0.164,0.396,0.28,0.28
LA,2004,0.154,0.378,0.266,0.266
LA,2005,0.159,0.378,0.2685,0.2685
LA,2006,0.154,0.378,0.266,0.266
LA,2007,0.172,0.354,0.263,0.263
LA,2008,0.43,0.32,0.375,0.375
LA,2009,0.427,0.191,0.309,0.309
LA,2010,0.43,0.368,0.399,0.399
LA,2011,0.431,0.38,0.4055,0.4055
LA,2012,0.529,0.451,0.49,0.49
LA,2013,0.529,0.451,0.49,0.49
LA,2014,0.529,0.454,0.4915,0.4915
LA,2015,0.529,0.454,0.4915,0.4915
LA,2016,0.529,0.454,0.4915,0.4915
LA,2017,0.529,0.454,0.4915,0.4915
MA,1993,,,,-1.0335
MA,1994,,,,-1.0335
MA,1995,-1.049,-1.018,-1.0335,-1.0335
MA,1996,-1.049,-1.018,-1.0335,-1.0335
MA,1997,-1.049,-1.025,-1.037,-1.037
MA,1998,-1.049,-1.025,-1.037,-1.037
MA,1999,-1.047,-1.015,-1.031,-1.031
MA,2000,-1.047,-1.011,-1.029,-1.029
MA,2001,-1.034,-1.019,-1.0265,-1.0265
MA,2002,-1.035,-1.033,-1.034,-1.034
MA,2003,-1.031,-1.033,-1.032,-1.032
MA,2004,-1.031,-1.025,-1.028,-1.028
MA,2005,-1.041,-1.033,-1.037,-1.037
MA,2006,-1.035,-1.033,-1.034,-1.034
MA,2007,-1.057,-1.035,-1.046,-1.046
MA,2008,-1.057,-1.033,-1.045,-1.045
MA,2009,,,,-1.045
MA,2010,,,,-1.045
MA,2011,,,,-1.045
MA,2012,,,,-1.045
MA,2013,-1.078,,-1.078,-1.078
MA,2014,-1.078,,-1.078,-1.078
MA,2015,-1.078,,-1.078,-1.078
MA,2016,-1.078,,-1.078,-1.078
MA,2017,-1.078,,-1.078,-1.078
MD,1993,,,,-0.617
MD,1994,,,,-0.617
MD,1995,,,,-0.617
MD,1996,-0.576,-0.658,-0.617,-0.617
MD,1997,-0.576,-0.658,-0.617,-0.617
MD,1998,-0.596,-0.704,-0.65,-0.65
MD,1999,-0.769,-0.575,-0.672,-0.672
MD,2000,-0.759,-0.575,-0.667,-0.667
MD,2001,-0.759,-0.575,-0.667,-0.667
MD,2002,-0.772,-0.452,-0.612,-0.612
MD,2003,-0.752,-0.447,-0.5995,-0.5995
MD,2004,-0.759,-0.447,-0.603,-0.603
MD,2005,-0.745,-0.447,-0.596,-0.596
MD,2006,-0.763,-0.447,-0.605,-0.605
MD,2007,-0.925,-0.575,-0.75,-0.75
MD,2008,-0.923,-0.742,-0.8325,-0.8325
MD,2009,-0.925,-0.742,-0.8335,-0.8335
MD,2010,-0.925,-0.742,-0.8335,-0.8335
MD,2011,-0.907,-0.813,-0.86,-0.86
MD,2012,-0.907,-0.813,-0.86,-0.86
MD,2013,-0.915,-0.813,-0.864,-0.864
MD,2014,-0.915,-0.836,-0.8755,-0.8755
